folioviv,foliohog,numren,trab,tipo_trab1,tipo_trab2,ocupa1,ocupa2
0100658005,1,03,1,1,0,1,0
0100665202,1,02,1,1,3,1,1
0100665203,1,01,1,3,0,1,0
0100665203,1,03,1,3,0,1,0
0100665203,1,04,1,1,0,1,0
0100665203,1,05,1,1,0,1,0
0100665204,1,01,1,1,0,1,0
0100665204,1,03,1,1,1,1,1
0100671301,1,01,1,1,0,1,0
0100671302,1,01,1,1,0,1,0
0100671302,1,02,1,1,0,1,0
0100671303,1,01,1,1,0,1,0
0100671305,1,01,1,3,0,1,0
0100671305,1,02,1,1,0,1,0
0100671305,1,03,1,1,0,1,0
0100677801,1,02,1,1,0,1,0
0100677802,1,01,1,1,0,1,0
0100677802,1,02,1,1,0,1,0
0100677806,1,01,1,3,0,1,0
0100677806,1,02,1,3,0,1,0
0100688401,1,01,1,1,0,1,0
0100688401,1,02,1,1,0,1,0
0100688402,1,03,1,1,0,1,0
0100688403,1,02,1,1,0,1,0
0100688405,1,01,1,1,0,1,0
0100688405,1,02,1,3,0,1,0
0100688406,1,01,1,1,0,1,0
0100688406,1,02,1,1,0,1,0
0100688406,1,03,1,1,0,1,0
0100691701,1,03,1,1,0,1,0
0100691702,1,01,1,1,0,1,0
0100691703,1,01,1,1,0,1,0
0100691703,1,02,1,1,1,1,1
0100691703,1,03,1,1,0,1,0
0100691703,1,04,1,1,0,1,0
0100691704,1,02,1,1,0,1,0
0100691704,1,03,1,1,0,1,0
0100691704,1,04,1,1,0,1,0
0100691706,1,01,1,1,1,1,1
0100691706,1,02,1,1,0,1,0
0100695903,1,01,1,1,0,1,0
0100695903,1,02,1,1,0,1,0
0100695904,1,01,1,1,0,1,0
0100695905,1,01,1,1,0,1,0
0100695905,1,02,1,1,0,1,0
0100695906,1,01,1,1,0,1,0
0100695906,1,02,1,1,0,1,0
0100711501,1,01,1,1,0,1,0
0100711501,1,02,1,1,0,1,0
0100711501,1,03,1,1,0,1,0
0100711502,1,01,1,1,0,1,0
